Child,Age,N.child,H.child,H.child.S,H.child.I,Schild,N.mother,H.mother,H.mother.S,H.mother.I,Smother
becky,976,2990,4.993200954,4.588202218,0.404998736,2.6,4476,5.417807295,4.899280362,0.518526933,3.933216169
becky,981,2694,4.914570585,4.508839324,0.405731261,2.551136364,4188,5.481309053,4.93149916,0.549809892,4.109911678
becky,991,2820,5.022157482,4.616785066,0.405372416,2.508896797,4042,5.473086542,4.926241531,0.54684501,3.791744841
becky,996,2737,4.995198115,4.596625121,0.398572994,2.45470852,3803,5.488506614,4.880165863,0.608340752,3.557530402
becky,1002,3331,5.074563912,4.64175861,0.432805302,2.600312256,4308,5.355631607,4.788813058,0.566818549,3.451923077
becky,1004,3609,5.048347636,4.611785998,0.436561637,2.579699786,4123,5.413433191,4.828292736,0.585140455,3.41307947
becky,1008,4076,5.010965034,4.584916413,0.426048621,2.665794637,4518,5.432921755,4.86175055,0.571171204,3.499612703
becky,1010,3750,4.983384592,4.579849066,0.403535527,2.521856086,3866,5.51121002,4.939785982,0.571424038,3.626641651
becky,1022,3612,5.076281027,4.693649659,0.382631368,2.503118503,4649,5.524589354,4.968414184,0.556175169,3.678006329
becky,1033,3697,5.195245618,4.790982559,0.404263059,2.560249307,4246,5.547580349,4.958774164,0.588806185,3.660344828
becky,1041,3891,5.228759562,4.829015986,0.399743577,2.576821192,4330,5.553099204,4.982317551,0.570781653,3.590381426
becky,1041,3777,5.126922422,4.721867516,0.405054906,2.553752536,3542,5.462456781,4.934820181,0.5276366,3.681912682
becky,1045,3238,5.072260481,4.66598392,0.406276561,2.398518519,3816,5.452155246,4.91977004,0.532385206,3.637750238
becky,1050,3101,4.996033394,4.626442188,0.369591206,2.449447077,3853,5.45881251,4.91154224,0.54727027,3.628060264
becky,1057,3158,5.111557329,4.712760304,0.398797025,2.609917355,3768,5.475649463,4.901490212,0.574159251,3.528089888
becky,1059,3393,5.097656646,4.717127502,0.380529144,2.776595745,3690,5.436015514,4.881995642,0.554019872,3.527724665
becky,1063,3463,5.149405346,4.753307528,0.396097818,2.83852459,3810,5.434388912,4.880224458,0.554164453,3.56741573
becky,1065,3504,5.120539177,4.75913789,0.361401287,2.814457831,3692,5.431740459,4.878317617,0.553422842,3.612524462
becky,1070,3464,5.137391861,4.75988875,0.377503111,2.729708432,3921,5.48899597,4.952866072,0.536129898,3.699056604
domin,691,1077,3.987162216,3.95568327,0.031478946,1.24078341,4062,5.250110558,4.664981159,0.585129398,3.081942337
domin,693,934,4.025443851,3.946487268,0.078956582,1.224115334,4302,5.307998427,4.732437695,0.575560732,3.294027565
domin,700,1077,4.189975349,4.094981784,0.094993565,1.259649123,4826,5.22554148,4.659766168,0.565775312,3.282993197
domin,707,1063,4.233550811,4.147885791,0.085665021,1.219036697,5129,5.147996437,4.604839157,0.54315728,3.451547779
domin,714,1210,4.506228923,4.419040657,0.087188265,1.271008403,5389,5.073370115,4.540296959,0.533073157,3.296024465
domin,716,1358,4.5470715,4.474021238,0.073050261,1.307025987,5217,5.153537622,4.634427957,0.519109665,3.333546326
domin,724,1344,4.753894185,4.647457184,0.106437001,1.379876797,5925,5.221543609,4.700357489,0.52118612,3.248355263
domin,730,1351,4.518381511,4.42562473,0.092756781,1.410229645,5900,5.256398141,4.749188732,0.507209409,3.320202589
domin,742,1348,4.628874149,4.542483031,0.086391119,1.418947368,6604,5.241348864,4.732789583,0.508559281,3.300349825
domin,746,1373,4.591647348,4.524700911,0.066946437,1.398167006,5969,5.205518196,4.686177269,0.519340928,3.32164719
domin,753,1509,4.629841442,4.513069629,0.116771813,1.459381044,5823,5.13022793,4.61200022,0.518227709,3.314171884
domin,755,1284,4.49395979,4.3950802,0.09887959,1.5,4712,5.151099205,4.671537424,0.479561781,3.256392536
domin,763,1408,4.424572464,4.311690754,0.11288171,1.598183882,5042,5.136175572,4.665121303,0.471054269,3.314924392
domin,768,1423,4.444088004,4.368832423,0.075255581,1.572375691,5297,5.13118507,4.676307698,0.454877372,3.386828645
domin,773,1784,4.49937311,4.427574456,0.071798654,1.644239631,5723,5.1524949,4.673609633,0.478885267,3.439302885
domin,776,1788,4.585485446,4.510518751,0.074966695,1.597855228,5549,5.287105272,4.80425722,0.482848052,3.425308642
