Child Age N.child H.child.S H.child Schild N.mother H.mother.S H.mother Smother
hagar 658.614285714 137 4.47080892739 4.59104220445 1.84931506849 196 4.44015102321 4.88283501723 3.82352941176
hagar 664.77540107 371 4.43509032355 4.50066781544 2.19161676647 726 4.67790220904 5.06649088146 4.09090909091
hagar 665.739583333 957 5.21289736863 5.39120034281 2.02141327623 1664 5.04055457285 5.43677661347 4.3219895288
hagar 666.100208768 955 5.17195908823 5.34770344095 2.0367965368 1602 5.0309964716 5.43757759822 4.30894308943
hagar 667.030110935 1259 5.1064544592 5.34289951786 2.10696095076 2806 5.2976744946 5.73505533753 4.9414893617
hagar 668.225268176 836 4.61937718474 4.88417035827 2.17414248021 2315 5.31226678805 5.75503285624 5.20588235294
hagar 669.004484305 889 4.67631721606 4.94418898888 2.11325301205 2673 5.31336530423 5.75774733513 5.15922330097
hagar 675.93315508 745 4.67372258159 4.86677199945 2.30817610063 1812 5.05753941576 5.46426399642 4.81016042781
hagar 678.373643411 642 4.52387575932 4.75213517498 2.4765625 1579 4.90349731924 5.32607218228 4.86335403727
hagar 679.0 741 4.53831930069 4.76583841059 2.45 1399 4.91117768192 5.3226057435 4.76288659794
hagar 679.382289417 460 4.56435239533 4.79722128314 2.08181818182 1117 5.09905235546 5.54437988287 4.87665198238
hagar 679.741267788 770 4.82693770884 5.05346838673 2.31117824773 2164 5.28806178834 5.77513505895 5.05399061033
hagar 680.134441088 659 4.82723930893 5.01051420337 2.34408602151 2196 5.31411463766 5.81734053371 5.03917050691
hagar 680.883396705 786 4.75597446827 5.00169201868 2.42236024845 2166 5.24629412818 5.74283821276 5.0162412993
hagar 682.0 479 4.55100726024 4.82375828967 2.16363636364 1148 5.05994689466 5.54799899213 4.64372469636
hagar 683.511744966 593 4.65045998481 4.8978109689 2.24137931034 1240 5.1000928613 5.59389621197 4.52747252747
hagar 686.109872611 625 4.78430000279 5.0900686577 2.21223021583 1653 5.11077591292 5.66976093999 4.3280839895
hagar 686.656514382 588 4.74904977181 5.07159601209 2.24513618677 1592 5.12083617748 5.64895189791 4.30352303523
