 Child Age N.child H.child.S H.child Schild N.mother H.mother.S H.mother Smother
0 hagar 577.0 364 3.51034895126 3.6010205971 1.86153846154 384.0 3.77678904413 4.00672973821 3.42857142857
1 hagar 577.704433498 403 4.21267266511 4.30215031483 2.13227513228 520.0 4.37935769505 4.65376254158 3.39869281046
2 hagar 577.861538462 647 4.47619418667 4.56230400112 2.04100946372 917.0 4.61091100869 4.94801235589 3.39259259259
3 hagar 582.739837398 981 4.6950600947 4.80768614124 2.38106796117 1305.0 4.68482230305 5.08283582422 3.45623342175
4 hagar 587.116634799 1043 4.85218229453 4.97887633671 2.35746606335 1593.0 4.7042996947 5.11891658019 3.65287356322
5 hagar 591.837022133 991 4.84507796303 4.99830712036 2.41564792176 1484.0 4.64644738054 5.03443059635 3.69674185464
6 hagar 595.534296029 828 4.74030078283 4.92454622921 2.27977839335 1761.0 4.73765018733 5.18507317932 3.99316628702
7 hagar 600.512195122 694 4.58481098942 4.74545227696 2.37931034483 1526.0 4.75595020982 5.15138180335 4.01587301587
8 hagar 605.986098239 1076 5.26668033414 5.49040134071 2.52843601896 2184.0 4.95355765389 5.4097907846 4.18234165067
9 hagar 608.429065744 864 5.2891425645 5.53789083026 2.5505952381 1462.0 4.86738439017 5.24129354955 4.11581920904
10 hagar 609.870198675 752 5.35026000646 5.58236484991 2.42950819672 1319.0 4.88594298151 5.31139428819 4.16139240506
11 hagar 613.58649789 234 4.71150090068 4.77599358418 2.18095238095 554.0 4.67832328109 5.02570782491 4.06617647059
12 hagar 614.714285714 655 5.0163996562 5.25355684963 2.04100946372 1248.0 4.8820632619 5.25439596677 4.18181818182
13 hagar 615.668888889 897 5.20723461829 5.42797230265 2.28974358974 1573.0 4.89510178628 5.25697511501 4.14814814815
14 hagar 615.899401198 832 5.17432292617 5.40428633041 2.32212885154 1384.0 4.86471264771 5.19719921736 4.10416666667
15 hagar 617.194379391 424 4.79299107386 4.94074604906 2.77124183007 684.0 4.54694148099 4.84388253706 4.12048192771
16 hagar 632.286538462 517 3.89106784277 3.96436572832 2.70157068063 121.0 3.93806973845 4.19831436147 4.1724137931
17 hagar 633.838499184 610 4.16914736342 4.26523169691 2.64628820961 256.0 4.43053977864 4.74317454133 4.11290322581
18 hagar 636.25 621 4.31045967999 4.41849213086 2.70175438596 383.0 4.81499856603 5.1606630577 4.18681318681
19 hagar 640.085561497 371 5.09626507936 5.26141911776 2.14619883041 736.0 5.04257388508 5.38325998226 3.796875
20 hagar 641.190031153 318 5.15969715493 5.32810493789 2.09271523179 716.0 5.00681408848 5.37186394563 3.70680628272
21 hagar 642.140316206 503 4.8545649049 4.98897085821 2.19213973799 1296.0 4.95316075521 5.29285690254 4.08917197452
22 hagar 649.232908459 860 5.24475249171 5.41068689909 2.55555555556 1800.0 5.01464750981 5.45554577419 4.22695035461
23 hagar 652.79562982 1553 5.08107577775 5.24838295043 3.10261569416 2766.0 5.02785602705 5.41404716487 4.64080944351
24 hagar 655.016274864 1656 5.18508687558 5.33138315354 2.99453551913 2341.0 4.979374434 5.36153014055 4.58661417323
25 hagar 656.054283291 1176 4.5981039507 4.72972759609 3.00512820513 1484.0 4.76135744444 5.01240777794 4.95973154362
26 hagar 656.257206208 448 4.45564530591 4.585981216 2.10377358491 462.0 4.87265093213 5.14420159347 4.07079646018
27 hagar 658.614285714 137 4.47080892739 4.59104220445 1.84931506849 196.0 4.44015102321 4.88283501723 3.82352941176
28 hagar 664.77540107 371 4.43509032355 4.50066781544 2.19161676647 726.0 4.67790220904 5.06649088146 4.09090909091
29 hagar 665.739583333 957 5.21289736863 5.39120034281 2.02141327623 1664.0 5.04055457285 5.43677661347 4.3219895288
30 hagar 666.100208768 955 5.17195908823 5.34770344095 2.0367965368 1602.0 5.0309964716 5.43757759822 4.30894308943
31 hagar 667.030110935 1259 5.1064544592 5.34289951786 2.10696095076 2806.0 5.2976744946 5.73505533753 4.9414893617
32 hagar 668.225268176 836 4.61937718474 4.88417035827 2.17414248021 2315.0 5.31226678805 5.75503285624 5.20588235294
33 hagar 669.004484305 889 4.67631721606 4.94418898888 2.11325301205 2673.0 5.31336530423 5.75774733513 5.15922330097
34 hagar 675.93315508 745 4.67372258159 4.86677199945 2.30817610063 1812.0 5.05753941576 5.46426399642 4.81016042781
35 hagar 678.373643411 642 4.52387575932 4.75213517498 2.4765625 1579.0 4.90349731924 5.32607218228 4.86335403727
36 hagar 679.0 741 4.53831930069 4.76583841059 2.45 1399.0 4.91117768192 5.3226057435 4.76288659794
